rank,corridor_id,region,road,n_segments,length_km,n_critical,n_serious,school_or_market,dominant_intervention,cost_tier,total_benefit,mean_bcr_index,mean_ksi_reduction_pct,inspect_at
537,THA_1142,THA,(unnamed corridor),1,20.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.8,7.0,97.0,"13.92084,99.37817"
538,THA_306,THA,Suwannason Road,1,15.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.8,7.0,95.0,"14.12312,101.46609"
539,THA_1840,THA,(unnamed corridor),1,15.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.8,7.0,96.0,"17.54585,103.22702"
540,MAH_597,MAH,(unnamed),1,19.3,1,0,,Enforcement + calming (medium cost),2,11.7,13.0,73.0,"21.43301,78.81096"
541,MAH_423,MAH,(unnamed),1,33.1,0,1,,Enforcement + calming (medium cost),2,11.7,13.0,52.0,"20.29301,75.90327"
542,MAH_410,MAH,(unnamed),1,23.5,0,1,,Physical protection: footways/crossings/separation (high cost),4,11.7,7.0,74.0,"15.76223,73.92622"
543,MAH_601,MAH,(unnamed),1,19.3,1,0,,Enforcement + calming (medium cost),2,11.7,13.0,73.0,"21.43283,78.81108"
544,THA_194,THA,Sukhumvit Road,2,13.6,2,0,,Physical protection: footways/crossings/separation (high cost),4,11.7,3.0,91.0,"13.36002,100.98471"
545,THA_1363,THA,(unnamed corridor),1,20.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.6,7.0,95.0,"16.90476,99.86349"
546,THA_155,THA,Suwannason Road,1,12.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.6,6.0,98.0,"14.42599,100.77704"
547,MAH_671,MAH,(unnamed),1,26.1,0,1,,Enforcement + calming (medium cost),2,11.6,13.0,50.0,"20.21734,75.57713"
548,THA_1246,THA,(unnamed corridor),1,16.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.6,7.0,96.0,"8.07917,99.59213"
549,THA_1848,THA,(unnamed corridor),1,19.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.5,6.0,96.0,"17.60650,103.33843"
550,MAH_606,MAH,(unnamed),1,22.6,0,1,,Enforcement + calming (medium cost),2,11.5,13.0,61.0,"19.02264,77.20245"
551,MAH_500,MAH,(unnamed),1,16.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.5,6.0,95.0,"16.88942,74.36307"
552,THA_1755,THA,(unnamed corridor),1,22.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.5,6.0,95.0,"17.86491,102.45420"
553,THA_1103,THA,(unnamed corridor),1,15.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.5,6.0,96.0,"8.58910,99.05389"
554,THA_1240,THA,(unnamed corridor),1,18.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.4,6.0,97.0,"13.87478,99.59791"
555,THA_305,THA,Ratchata Witee Road,1,17.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.4,6.0,97.0,"13.52446,102.32717"
556,THA_298,THA,Highway 107,3,14.9,3,0,,Physical protection: footways/crossings/separation (high cost),4,11.4,2.0,92.0,"19.86363,99.18369"
557,THA_1749,THA,(unnamed corridor),1,16.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.4,6.0,97.0,"13.38522,102.30183"
558,THA_841,THA,Kaewnawarat Road,4,13.7,4,0,,Physical protection: footways/crossings/separation (high cost),4,11.4,2.0,95.0,"18.82319,99.04431"
559,THA_190,THA,Charot Withi Thong Road,2,17.0,2,0,,Physical protection: footways/crossings/separation (high cost),4,11.4,3.0,98.0,"17.24345,99.85495"
560,MAH_378,MAH,(unnamed),1,32.6,0,1,,Enforcement + calming (medium cost),2,11.3,13.0,54.0,"21.00690,79.34640"
561,THA_867,THA,Rotchana Road,2,13.8,2,0,,Physical protection: footways/crossings/separation (high cost),4,11.3,3.0,92.0,"14.32827,100.62485"
562,MAH_517,MAH,(unnamed),1,27.1,0,1,,Enforcement + calming (medium cost),2,11.2,13.0,54.0,"21.35478,79.82707"
563,MAH_474,MAH,(unnamed),1,27.7,0,1,,Enforcement + calming (medium cost),2,11.2,13.0,55.0,"21.12583,77.90675"
564,THA_444,THA,(unnamed corridor),1,14.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.2,6.0,98.0,"16.90184,99.78947"
565,THA_893,THA,Nittayo Road,1,12.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.2,6.0,98.0,"17.41817,103.38151"
566,THA_1230,THA,(unnamed corridor),1,15.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.2,6.0,96.0,"16.30217,99.68896"
567,THA_770,THA,Suranarai Road,1,12.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.1,6.0,92.0,"15.02708,102.12905"
568,THA_1844,THA,(unnamed corridor),1,16.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.1,6.0,94.0,"16.65217,103.26763"
569,MAH_782,MAH,Katraj - Dehu Road Bypass,3,13.2,1,2,,Physical protection: footways/crossings/separation (high cost),4,11.1,2.0,86.0,"18.46064,73.82938"
570,MAH_555,MAH,(unnamed),1,25.2,0,1,,Enforcement + calming (medium cost),2,11.1,12.0,55.0,"18.68957,75.19900"
571,THA_1382,THA,(unnamed corridor),1,15.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.1,6.0,96.0,"12.98410,99.85872"
572,THA_1936,THA,(unnamed corridor),1,19.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.1,6.0,96.0,"16.69457,103.97434"
573,MAH_583,MAH,(unnamed),1,14.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.1,6.0,92.0,"21.38454,79.35073"
574,THA_1288,THA,(unnamed corridor),1,21.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.0,6.0,95.0,"7.47177,99.72041"
575,MAH_466,MAH,Karad Vita Road,1,16.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,11.0,6.0,92.0,"17.30845,74.28967"
576,THA_936,THA,Thanon Chotana,2,12.6,2,0,,Physical protection: footways/crossings/separation (high cost),4,10.9,3.0,91.0,"18.89757,98.95207"
577,THA_807,THA,Samakkhi Chai Road,2,15.1,2,0,,Physical protection: footways/crossings/separation (high cost),4,10.9,3.0,97.0,"16.75794,101.21379"
578,THA_1491,THA,(unnamed corridor),1,20.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.9,6.0,96.0,"16.19739,100.21515"
579,THA_1826,THA,(unnamed corridor),1,14.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.9,6.0,97.0,"17.03826,103.11540"
580,THA_1983,THA,(unnamed corridor),1,16.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.9,6.0,96.0,"15.20865,104.28714"
581,THA_2045,THA,Maliwan Road,3,15.5,3,0,,Physical protection: footways/crossings/separation (high cost),4,10.9,2.0,96.0,"17.08086,101.86473"
582,THA_274,THA,Khlong Luang Road,2,12.1,2,0,,Physical protection: footways/crossings/separation (high cost),4,10.9,3.0,94.0,"14.06606,100.66577"
583,THA_1148,THA,(unnamed corridor),1,13.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.8,6.0,97.0,"13.54380,99.38510"
584,MAH_465,MAH,(unnamed),1,18.8,0,1,,Physical protection: footways/crossings/separation (high cost),4,10.8,6.0,80.0,"20.12892,74.05534"
585,THA_908,THA,Hang Talad - Sri Sumran Road,1,17.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.8,6.0,96.0,"14.27484,99.99359"
586,MAH_385,MAH,Paranda Karmala Road,1,22.3,0,1,,Physical protection: footways/crossings/separation (high cost),4,10.8,6.0,76.0,"18.24396,75.55646"
587,MAH_623,MAH,Nagpur Chandrapur Road,1,13.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.8,6.0,96.0,"20.07297,79.15836"
588,MAH_379,MAH,Nagpur Tuljapur Road,2,24.2,1,1,,Enforcement + calming (medium cost),2,10.8,6.0,66.0,"19.99509,77.93188"
589,THA_1261,THA,(unnamed corridor),1,17.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.8,6.0,97.0,"17.96509,99.63388"
590,MAH_353,MAH,(unnamed),1,18.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.7,6.0,96.0,"20.54890,79.97661"
591,THA_1940,THA,(unnamed corridor),1,19.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.7,6.0,95.0,"17.54213,104.05312"
592,THA_1178,THA,(unnamed corridor),1,18.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.7,6.0,97.0,"15.99529,99.44051"
593,MAH_771,MAH,(unnamed),1,11.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.7,6.0,95.0,"20.17811,72.89932"
594,MAH_772,MAH,(unnamed),1,20.0,0,1,,Enforcement + calming (medium cost),2,10.6,12.0,55.0,"18.14763,74.97764"
595,THA_1201,THA,(unnamed corridor),1,18.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.6,6.0,97.0,"14.66743,99.46699"
596,THA_167,THA,Chiang Mai-Lamphun Road,1,14.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.6,6.0,89.0,"18.67289,99.03770"
597,THA_1876,THA,(unnamed corridor),1,18.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.5,6.0,97.0,"14.53440,103.37287"
598,THA_35,THA,(unnamed corridor),1,11.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.5,6.0,97.0,"8.17526,98.83902"
599,THA_208,THA,Phahon Yothin Road,2,14.1,2,0,,Physical protection: footways/crossings/separation (high cost),4,10.5,3.0,98.0,"18.37566,99.59764"
600,THA_1477,THA,(unnamed corridor),1,12.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.5,6.0,96.0,"13.97842,100.14351"
601,THA_1032,THA,Rangsit - Pathum Thani Road,1,12.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.5,6.0,90.0,"13.99032,100.58948"
602,THA_1617,THA,(unnamed corridor),1,15.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.5,6.0,97.0,"15.74660,100.90931"
603,MAH_418,MAH,(unnamed),1,23.7,0,0,,Re-set limit / signs (low cost),1,10.4,23.0,65.0,"19.61032,77.07393"
604,THA_136,THA,Singhawat Road,4,15.5,4,0,,Physical protection: footways/crossings/separation (high cost),4,10.4,1.0,94.0,"17.01805,99.85708"
605,THA_1739,THA,(unnamed corridor),1,21.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.4,6.0,96.0,"15.48492,102.25600"
606,THA_530,THA,(unnamed corridor),1,12.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.4,6.0,98.0,"15.88074,100.40302"
607,THA_1770,THA,(unnamed corridor),1,14.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.4,6.0,96.0,"12.41063,102.46422"
608,THA_9,THA,Chiang Mai-Fang Road,4,13.8,4,0,,Physical protection: footways/crossings/separation (high cost),4,10.3,1.0,94.0,"19.08480,98.93843"
609,THA_5,THA,Sathonlamak Road,1,13.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.3,6.0,98.0,"15.11095,104.90412"
610,THA_1908,THA,(unnamed corridor),1,13.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.3,6.0,97.0,"15.31811,103.77962"
611,THA_1990,THA,(unnamed corridor),1,17.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.3,6.0,96.0,"15.76689,104.47233"
612,MAH_575,MAH,(unnamed),1,26.2,0,0,,Re-set limit / signs (low cost),1,10.2,23.0,48.0,"19.37838,74.76889"
613,THA_403,THA,(unnamed corridor),1,12.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.2,6.0,97.0,"16.60348,99.53297"
614,THA_880,THA,Khotchaseni Road,2,12.8,2,0,,Physical protection: footways/crossings/separation (high cost),4,10.2,3.0,96.0,"16.38913,101.12808"
615,THA_1182,THA,(unnamed corridor),1,18.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.2,6.0,93.0,"18.16143,99.50506"
616,MAH_384,MAH,(unnamed),1,17.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.2,6.0,91.0,"15.91593,74.28668"
617,THA_710,THA,(unnamed corridor),1,12.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.2,6.0,97.0,"15.02685,103.98500"
618,THA_1815,THA,(unnamed corridor),1,14.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.1,6.0,95.0,"14.55830,103.01490"
619,THA_753,THA,Mittraphap Road,2,13.1,1,1,,Physical protection: footways/crossings/separation (high cost),4,10.1,3.0,91.0,"16.81872,100.29095"
620,THA_1143,THA,(unnamed corridor),1,19.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.1,6.0,95.0,"13.94798,99.38336"
621,MAH_454,MAH,(unnamed),1,24.1,0,1,,Enforcement + calming (medium cost),2,10.1,11.0,59.0,"20.29037,74.33447"
622,THA_1090,THA,(unnamed corridor),1,15.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.1,6.0,96.0,"8.57292,98.91549"
623,MAH_766,MAH,(unnamed),1,11.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.1,6.0,96.0,"20.18092,72.89835"
624,THA_1987,THA,(unnamed corridor),1,17.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.1,6.0,96.0,"15.23767,104.47754"
625,MAH_584,MAH,Paud Kolwan Road,1,17.8,0,0,,Re-set limit / signs (low cost),1,10.0,22.0,68.0,"18.57276,73.55921"
626,THA_1048,THA,Surat Thani Ring Road,2,20.4,2,0,,Physical protection: footways/crossings/separation (high cost),4,10.0,3.0,97.0,"9.11804,99.34236"
627,THA_36,THA,(unnamed corridor),1,11.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.0,6.0,97.0,"8.17529,98.83913"
628,THA_1298,THA,(unnamed corridor),1,16.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,10.0,6.0,97.0,"14.49208,99.71629"
629,THA_938,THA,Pu Chao Saming Phrai Road,2,11.7,2,0,,Physical protection: footways/crossings/separation (high cost),4,10.0,3.0,92.0,"13.64821,100.56800"
630,MAH_762,MAH,(unnamed),1,16.4,0,1,,Enforcement + calming (medium cost),2,9.9,11.0,63.0,"18.06974,75.10521"
631,MAH_664,MAH,(unnamed),1,15.6,1,0,,Enforcement + calming (medium cost),2,9.9,11.0,71.0,"17.65843,75.78169"
632,THA_848,THA,Chum Phae-Phu Khiao Road,2,12.5,2,0,,Physical protection: footways/crossings/separation (high cost),4,9.9,3.0,96.0,"16.51621,102.11569"
633,THA_1748,THA,(unnamed corridor),1,16.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.9,6.0,97.0,"15.81821,102.39563"
634,THA_1055,THA,(unnamed corridor),1,14.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.9,6.0,96.0,"8.54913,98.36063"
635,THA_1352,THA,(unnamed corridor),1,17.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.9,6.0,95.0,"14.05234,99.91759"
636,THA_793,THA,Nittayo Road,1,11.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.9,6.0,94.0,"17.18001,104.11904"
637,THA_1679,THA,(unnamed corridor),1,17.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.8,5.0,97.0,"15.01502,101.41125"
638,MAH_213,MAH,(unnamed),1,25.5,0,1,,Physical protection: footways/crossings/separation (high cost),4,9.8,5.0,82.0,"20.93273,75.88867"
639,MAH_789,MAH,(unnamed),1,14.0,0,1,,Enforcement + calming (medium cost),2,9.8,11.0,72.0,"18.65699,74.07897"
640,THA_1865,THA,(unnamed corridor),1,28.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.8,6.0,95.0,"14.51944,103.27827"
641,THA_1407,THA,(unnamed corridor),1,13.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.8,6.0,96.0,"15.42848,99.95052"
642,THA_1790,THA,(unnamed corridor),1,12.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.8,6.0,96.0,"14.04151,102.68563"
643,MAH_760,MAH,Ahmadnagar Aurangabad Highway,1,21.4,0,1,,Enforcement + calming (medium cost),2,9.8,11.0,48.0,"19.46390,74.92604"
644,THA_694,THA,(unnamed corridor),1,11.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.7,5.0,98.0,"15.64628,103.66249"
645,MAH_372,MAH,(unnamed),1,28.0,0,1,,Enforcement + calming (medium cost),2,9.7,11.0,55.0,"18.64926,76.18459"
646,THA_852,THA,Yantarakit Koson Road,2,14.5,2,0,,Physical protection: footways/crossings/separation (high cost),4,9.7,3.0,96.0,"18.57091,100.73302"
647,THA_2000,THA,(unnamed corridor),1,17.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.7,5.0,95.0,"15.68046,104.58275"
648,THA_1561,THA,(unnamed corridor),1,21.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.6,5.0,94.0,"15.78999,100.49200"
649,THA_1273,THA,(unnamed corridor),1,15.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.6,5.0,97.0,"16.66202,99.71323"
650,MAH_359,MAH,Jintur - Sengaon - Hingoli Road,1,27.3,0,1,,Enforcement + calming (medium cost),2,9.6,11.0,57.0,"19.75067,77.00873"
651,THA_984,THA,Maha Sarakham Bypass Road,2,12.3,2,0,,Physical protection: footways/crossings/separation (high cost),4,9.6,3.0,96.0,"16.15909,103.30850"
652,THA_267,THA,Liap Wari Road,4,12.7,4,0,,Physical protection: footways/crossings/separation (high cost),4,9.6,1.0,94.0,"13.85404,100.83351"
653,THA_611,THA,(unnamed corridor),1,11.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.6,5.0,96.0,"12.95391,101.21922"
654,THA_91,THA,(unnamed corridor),1,12.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.5,5.0,98.0,"7.03277,100.65885"
655,THA_430,THA,(unnamed corridor),1,14.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.5,5.0,98.0,"7.29640,99.67411"
656,THA_1515,THA,(unnamed corridor),1,13.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.5,5.0,96.0,"19.62320,100.28856"
657,THA_978,THA,Phetkasem Road,2,10.3,2,0,,Physical protection: footways/crossings/separation (high cost),4,9.5,3.0,97.0,"12.83155,99.93439"
658,THA_937,THA,Trat–Laem Ngop Road,1,13.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.4,5.0,95.0,"12.18832,102.44669"
659,THA_1361,THA,(unnamed corridor),1,12.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.4,5.0,96.0,"9.14833,99.80659"
660,MAH_565,MAH,Nagpur Amravati Road,2,18.7,0,2,,Enforcement + calming (medium cost),2,9.4,5.0,63.0,"21.09204,78.10790"
661,THA_160,THA,Ratchadaphisek Road,11,13.5,10,1,,Physical protection: footways/crossings/separation (high cost),4,9.3,0.0,91.0,"13.81890,100.57039"
662,THA_1762,THA,(unnamed corridor),1,16.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.3,5.0,97.0,"13.12345,102.39496"
663,THA_1592,THA,(unnamed corridor),1,13.3,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.3,5.0,98.0,"15.60595,100.72929"
664,MAH_373,MAH,Kolhapur-Miraj Road,1,16.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.2,5.0,91.0,"16.80156,74.72946"
665,THA_862,THA,On Nut Road,2,10.8,2,0,,Physical protection: footways/crossings/separation (high cost),4,9.2,3.0,90.0,"13.71862,100.67035"
666,MAH_449,MAH,Pusegaon Phaltan Road,1,27.1,0,1,,Enforcement + calming (medium cost),2,9.2,10.0,48.0,"17.87338,74.32485"
667,MAH_103,MAH,(unnamed),1,32.3,0,1,,Physical protection: footways/crossings/separation (high cost),4,9.2,5.0,85.0,"18.05158,75.65557"
668,THA_435,THA,(unnamed corridor),1,11.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.2,5.0,97.0,"7.19866,99.73664"
669,THA_1517,THA,(unnamed corridor),1,15.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.1,5.0,95.0,"7.22630,100.27536"
670,THA_309,THA,Lom Sak-Loei Road,1,11.7,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.1,5.0,98.0,"17.40248,101.29262"
671,THA_1439,THA,(unnamed corridor),1,14.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.1,5.0,96.0,"14.12617,100.05136"
672,THA_2025,THA,(unnamed corridor),1,16.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.1,5.0,97.0,"16.15644,105.01802"
673,THA_1131,THA,(unnamed corridor),1,14.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.1,5.0,97.0,"10.71016,99.26248"
674,THA_758,THA,Mahidon Road,7,11.5,7,0,,Physical protection: footways/crossings/separation (high cost),4,9.1,1.0,94.0,"18.76136,99.00410"
675,THA_1024,THA,Outer Ring Road,1,10.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.1,5.0,93.0,"18.72198,98.97585"
676,MAH_481,MAH,(unnamed),1,17.1,1,0,,Enforcement + calming (medium cost),2,9.1,10.0,72.0,"18.49196,76.81112"
677,THA_1035,THA,Nakhon Ratchasima - Hin Khon Road,1,11.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.1,5.0,98.0,"14.66333,102.19165"
678,THA_641,THA,(unnamed corridor),1,11.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.0,5.0,93.0,"15.73209,102.28030"
679,MAH_412,MAH,(unnamed),1,27.4,0,1,,Enforcement + calming (medium cost),2,9.0,10.0,49.0,"17.66673,74.91896"
680,THA_1144,THA,(unnamed corridor),1,13.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,9.0,5.0,97.0,"14.01846,99.35491"
681,MAH_516,MAH,(unnamed),1,13.5,0,1,,Physical protection: footways/crossings/separation (high cost),4,9.0,5.0,87.0,"19.24489,74.00756"
682,MAH_811,MAH,Katraj - Dehu Road Bypass,2,16.7,0,1,,Enforcement + calming (medium cost),2,9.0,8.0,54.0,"18.51923,73.77918"
683,MAH_528,MAH,(unnamed),1,21.5,0,1,,Enforcement + calming (medium cost),2,9.0,10.0,54.0,"19.16574,75.52063"
684,MAH_350,MAH,(unnamed),1,24.4,0,1,,Enforcement + calming (medium cost),2,8.9,10.0,60.0,"20.06984,77.83077"
685,THA_1219,THA,(unnamed corridor),1,19.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.9,5.0,96.0,"14.35134,99.59504"
686,THA_223,THA,Phahon Yothin Road,4,12.6,1,3,,Physical protection: footways/crossings/separation (high cost),4,8.9,1.0,81.0,"13.79537,100.55172"
687,THA_159,THA,Hathai Rat Road,2,10.7,2,0,,Physical protection: footways/crossings/separation (high cost),4,8.9,3.0,90.0,"13.85433,100.72153"
688,THA_657,THA,(unnamed corridor),1,11.8,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.9,5.0,95.0,"17.81012,102.66382"
689,THA_1070,THA,(unnamed corridor),1,15.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.8,5.0,96.0,"18.45794,98.79959"
690,MAH_736,MAH,(unnamed),1,20.5,0,1,,Enforcement + calming (medium cost),2,8.8,10.0,46.0,"18.10746,73.36147"
691,THA_1681,THA,(unnamed corridor),1,10.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.8,5.0,92.0,"14.53698,101.38919"
692,THA_1252,THA,(unnamed corridor),1,24.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.8,5.0,94.0,"16.78400,99.58766"
693,THA_990,THA,Tamru-Bang Phli Road,1,10.0,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.8,5.0,95.0,"13.55971,100.69229"
694,THA_800,THA,Ratchaphruek Road (frontage),2,10.8,2,0,,Physical protection: footways/crossings/separation (high cost),4,8.8,2.0,92.0,"13.84904,100.44927"
695,THA_886,THA,Thep Krasattri Road,4,11.9,4,0,,Physical protection: footways/crossings/separation (high cost),4,8.8,1.0,97.0,"8.24938,98.30000"
696,THA_1258,THA,(unnamed corridor),1,17.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.7,5.0,96.0,"13.26906,99.61469"
697,THA_1255,THA,(unnamed corridor),1,17.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.7,5.0,97.0,"15.52452,99.58882"
698,MAH_383,MAH,State Highway 185,1,44.9,0,0,,Re-set limit / signs (low cost),1,8.7,19.0,30.0,"20.96257,75.33504"
699,THA_1801,THA,(unnamed corridor),1,11.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.7,5.0,97.0,"14.37943,102.82181"
700,THA_1778,THA,(unnamed corridor),1,12.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,5.0,95.0,"16.93915,102.57985"
701,MAH_337,MAH,(unnamed),1,25.5,0,1,,Enforcement + calming (medium cost),2,8.6,10.0,57.0,"20.07834,75.95446"
702,THA_1294,THA,(unnamed corridor),1,16.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,5.0,96.0,"12.09990,99.77284"
703,THA_1731,THA,(unnamed corridor),1,10.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,5.0,96.0,"12.48231,102.13910"
704,THA_1803,THA,(unnamed corridor),1,16.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,5.0,97.0,"15.92739,102.87216"
705,THA_798,THA,Lat Bua Luang - Song Phi Nong Road,1,10.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,5.0,98.0,"14.18075,100.06483"
706,THA_922,THA,Mittraphap Road,2,10.9,2,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,2.0,98.0,"16.86165,100.75131"
707,THA_1308,THA,(unnamed corridor),1,13.1,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,5.0,96.0,"14.16856,99.86226"
708,THA_1016,THA,Chayangkun Road,2,10.9,2,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,2.0,96.0,"17.90000,102.78384"
709,MAH_547,MAH,(unnamed),1,29.0,0,0,,Enforcement + calming (medium cost),2,8.6,10.0,38.0,"17.65348,74.66664"
710,MAH_432,MAH,(unnamed),1,14.4,0,1,,Physical protection: footways/crossings/separation (high cost),4,8.6,5.0,87.0,"18.40338,74.86877"
711,MAH_598,MAH,(unnamed),1,16.2,0,1,,Enforcement + calming (medium cost),2,8.6,10.0,64.0,"20.15685,77.08576"
712,THA_1034,THA,Nakhon Ratchasima - Hin Khon Road,2,10.5,2,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,2.0,97.0,"14.76044,102.16355"
713,THA_448,THA,(unnamed corridor),1,9.9,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.6,5.0,97.0,"14.02890,99.85442"
714,MAH_505,MAH,Nagpur Adilabad Road,2,22.7,0,2,,Enforcement + calming (medium cost),2,8.5,5.0,48.0,"20.06771,78.55496"
715,THA_1277,THA,(unnamed corridor),1,11.6,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.5,5.0,94.0,"13.95547,99.69666"
716,THA_144,THA,Phatthanakan Road,2,10.8,1,1,,Physical protection: footways/crossings/separation (high cost),4,8.5,2.0,88.0,"13.71824,100.66058"
717,THA_1946,THA,(unnamed corridor),1,14.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,8.5,5.0,94.0,"15.27424,104.00002"
718,THA_215,THA,Phahon Yothin Road,2,10.1,2,0,,Physical protection: footways/crossings/separation (high cost),4,8.5,2.0,95.0,"19.17957,99.89778"
